ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"45.227.92.213","elite","AS266653","AR","Andros-net Comunicaciones S.R.L.","290","Andros-net Comunicaciones S.R.L","8080","socks4","4808","2","2024-04-16T19:08:46.112Z","97","6605","6801"
"36.73.107.91","elite","AS7713","ID","PT. TELKOM INDONESIA","284","N/A","5678","socks4","3603","1","2024-04-16T19:08:46.103Z","92","6253","6808"
"178.212.54.161","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","99","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","4490","2","2024-04-16T19:08:46.101Z","98","6721","6842"
"36.89.11.81","elite","AS7713","ID","PT. Telekomunikasi Indonesia","288","Telekomunikasi Indonesia","5678","socks4","438","3","2024-04-16T19:08:46.110Z","92","6349","6898"
"77.79.187.74","elite","AS24955","RU","JSC \"Ufanet\"","72","JSC Ufanet","8080","socks4","66","2","2024-04-16T19:08:46.099Z","100","6712","6735"
"182.253.159.115","elite","AS17451","ID","BIZNET","176","N/A","5678","socks4","4196","1","2024-04-16T19:08:45.506Z","91","6232","6811"
"190.0.244.146","elite","AS27951","CO","Media Commerce Partners S.A","154","Gonzalez Florez Radiologia Especializada SA","4153","socks4","3603","3","2024-04-16T19:08:45.413Z","97","6673","6857"
"61.178.55.53","elite","AS4134","CN","Chinanet","199","N/A","10800","socks4","4490","1","2024-04-16T19:08:45.512Z","86","5805","6788"
"177.55.57.69","elite","AS262493","BR","Webby Tecnologia Ltda","201","Webby Tecnologia Ltda","3128","socks5","66","1","2024-04-16T19:08:45.509Z","99","6685","6775"
"178.44.113.205","elite","AS12389","RU","JSC VolgaTelecom","66","OJSC Volgatelecom in the Kirov region","53281","socks5","4211","2","2024-04-16T19:08:32.312Z","100","6741","6770"
"209.141.33.219","elite","AS53667","US","FranTech Solutions","194","FranTech Solutions","9092","socks5","71","2","2024-04-16T19:08:32.311Z","100","6775","6791"
"196.0.39.50","elite","AS21491","UG","Uganda Telecom Ltd","386","UTL","5678","socks4","4489","2","2024-04-16T19:08:32.310Z","77","5237","6787"
"185.32.44.157","elite","AS200154","AZ","Izone LLC","86","Izone LLC","4153","socks4","73","2","2024-04-16T19:08:32.315Z","100","6869","6883"
"95.140.112.33","elite","AS9125","RS","Orion Telekom Network","82","N/A","1080","socks4","5099","2","2024-04-16T19:08:31.702Z","100","6819","6842"
"91.147.235.99","elite","AS5483","HU","Magyar Telekom plc.","200","Portal LLC","4145","socks4","1310","1","2024-04-16T19:08:31.712Z","100","141","141"
"185.203.220.16","elite","AS211974","ES","Airecom Internet, S.L.","34","Airecom Servers","1080","socks4","5002","82","2024-04-16T19:08:31.815Z","98","6704","6845"
"89.31.143.12","elite","AS15598","DE","United Domains via IP Exchange GmbH","15","united-domains AG","80","socks4","4914","1","2024-04-16T19:08:31.807Z","100","6792","6793"
"200.10.73.211","elite","AS6147","PE","Telefonica del Peru S.A.A.","193","Telefonica del Peru S.A.A","5678","socks4","71","2","2024-04-16T19:08:31.710Z","97","6659","6832"
"37.131.164.48","elite","AS35745","PL","KSU Provector Network","49","N/A","59341","socks4","193","1","2024-04-16T19:08:31.718Z","100","6829","6843"
"194.146.110.211","elite","AS29496","UA","Link-Service Ltd.","42","Link-Service Ltd.","8888","socks4","299","2","2024-04-16T19:08:31.902Z","99","6732","6773"
"192.46.229.111","elite","AS63949","SG","Akamai Technologies, Inc.","309","Linode, LLC","8080","socks4","1608","1","2024-04-16T19:08:31.801Z","99","6799","6895"
"164.90.160.201","elite","AS14061","DE","DigitalOcean, LLC","21","DigitalOcean, LLC","3128","socks4","4315","1","2024-04-16T19:08:31.715Z","100","6795","6796"
"163.172.149.133","elite","AS12876","FR","Online S.A.S.","2","ONLINE","16379","socks5","719","81","2024-04-16T19:08:31.717Z","100","144","144"
"106.52.65.104","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","216","Tencent cloud computing (Beijing) Co., Ltd.","1080","socks4","64","1","2024-04-16T19:08:19.018Z","88","6020","6854"
"103.35.111.101","elite","AS23991","BD","Ranks ITT","192","Ranks ITT Ltd.","4145","socks4","71","1","2024-04-16T19:08:19.105Z","100","6783","6812"
"51.254.49.255","elite","AS16276","FR","OVH SAS","6","OVH","52407","socks4","66","3","2024-04-16T19:08:19.101Z","100","6808","6808"
"72.195.114.169","elite","AS22773","US","Cox Communications Inc.","151","Cox Communications","4145","socks5","3997","2","2024-04-16T19:08:18.413Z","89","125","141"
"195.231.72.187","elite","AS31034","IT","Aruba S.p.A.","22","Aruba S.p.A. - Cloud Services","1080","socks4","71","2","2024-04-16T19:08:18.403Z","99","6875","6915"
"27.123.1.36","elite","AS45706","ID","PT Tele Globe Global","290","N/A","4153","socks4","72","2","2024-04-16T19:08:18.618Z","100","6773","6804"
"123.181.151.91","elite","AS4134","CN","Chinanet","186","Chinanet HE","1081","socks5","73","4","2024-04-16T19:08:18.400Z","39","2656","6768"
"208.109.39.171","elite","AS398101","US","GoDaddy.com, LLC","134","GoDaddy.com, LLC","58438","socks4","65","1","2024-04-16T19:08:18.603Z","93","6236","6740"
"46.61.17.251","elite","AS12389","RU","BRAS Huawei ME60 (128kusers)","86","OJSC Rostelecom Macroregional Branch South","3128","socks5","290","2","2024-04-16T19:08:05.119Z","64","4401","6841"
"181.78.13.94","elite","AS52468","CO","IFX Networks Argentina S.R.L","136","UFINET COLOMBIA, S. A","5678","socks4","68","3","2024-04-16T19:08:05.602Z","99","6829","6907"
"115.242.248.226","elite","AS55836","IN","Reliance Jio Infocomm Limited","172","Reliance Jio Infocomm Limited","5678","socks4","4900","2","2024-04-16T19:08:05.206Z","93","6348","6849"
"104.238.111.107","elite","AS26496","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","29015","socks4","962","2","2024-04-16T19:08:05.210Z","100","144","144"
"185.138.230.68","elite","AS48557","UA","PE Aristambayeva Taisiia Anatolyevna","40","PE Aristambayeva Taisiia Anatolyevna","5678","socks4","3510","1","2024-04-16T19:08:05.606Z","35","2388","6899"
"146.19.106.217","elite","AS53363","CA","Tangram Canada Inc.","88","Stark Industries Solutions LTD","12334","socks5","3710","1","2024-04-16T19:08:05.601Z","71","94","133"
"110.74.196.242","elite","AS38901","KH","EZECOM CO., LTD.","300","EZECOM limited","1080","socks4","432","3","2024-04-16T19:08:05.212Z","96","135","140"
"195.225.49.134","elite","AS51357","UA","INETIN","42","Freenet Ltd.","55774","socks4","4503","2","2024-04-16T19:08:05.207Z","99","6789","6838"
"38.127.179.100","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","21969","socks4","4000","2","2024-04-16T19:08:05.604Z","100","6761","6769"
"103.242.107.241","elite","AS58821","ID","PT Lintas Jaringan Nusantara","170","PT Lintas Jaringan Nusantara","4145","socks4","67","1","2024-04-16T19:07:54.300Z","28","1904","6884"
"103.35.109.142","elite","AS23991","BD","Ranks ITT","199","Ranks ITT Ltd.","4145","socks4","2396","1","2024-04-16T19:07:54.216Z","99","6850","6889"
"62.109.31.192","elite","AS29182","RU","Cjsc the First","48","TheFirst","20000","socks5","35","2","2024-04-16T19:07:54.304Z","100","40","40"
"140.250.92.253","elite","AS4134","CN","Chinanet","195","Chinanet SD","1080","socks4","5400","1","2024-04-16T19:07:54.217Z","83","5727","6878"
"38.127.179.67","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks4","230","1","2024-04-16T19:07:54.301Z","100","6693","6702"
"106.40.241.108","elite","AS4134","CN","Chinanet","181","Chinanet HN","3256","socks4","2814","2","2024-04-16T19:07:54.305Z","53","3615","6767"
"45.77.77.144","elite","AS20473","US","The Constant Company","83","Vultr Holdings, LLC","11304","socks4","70","1","2024-04-16T19:07:53.616Z","23","1557","6843"
"107.161.50.42","elite","AS395092","US","Shock Hosting LLC","90","Shock Hosting LLC","6401","socks4","3002","1","2024-04-16T19:07:53.800Z","100","6824","6843"
"174.75.211.194","elite","AS22773","US","Cox Communications Inc.","150","Cox Communications","4145","socks4","69","2","2024-04-16T19:07:54.000Z","51","3419","6713"
