index,date,title,production budget,domestric budget,worldwide gross
0,"Jan 4, 2013",Texas Chainsaw 3D,"$20,000,000","$34,341,945","$47,666,013"
1,"Jan 4, 2013",Promised Land,"$15,000,000","$7,597,898","$12,394,562"
2,"Jan 4, 2013",All Superheroes Must Die,"$20,000",$0,$0
3,"Jan 8, 2013",Yi dai zong shi,"$38,600,000","$6,594,959","$57,986,660"
4,"Jan 9, 2013",Gangster Squad,"$60,000,000","$46,000,903","$104,100,903"
5,"Jan 11, 2013",A Haunted House,"$2,500,000","$40,041,683","$59,922,558"
6,"Jan 15, 2013",30 Nights Of Paranormal Activity With The Devil…,"$3,000,000",$0,$0
7,"Jan 17, 2013",The Last Stand,"$30,000,000","$12,050,299","$48,330,757"
8,"Jan 17, 2013",Mama,"$15,000,000","$71,628,180","$148,095,566"
9,"Jan 18, 2013",Broken City,"$35,000,000","$19,701,164","$37,114,977"
10,"Jan 24, 2013",Parker,"$35,000,000","$17,616,641","$48,543,388"
11,"Jan 25, 2013",Hansel & Gretel: Witch Hunters,"$50,000,000","$55,703,475","$214,949,716"
12,"Jan 25, 2013",Supporting Characters,"$60,000","$4,917","$4,917"
13,"Jan 28, 2013",Last Vegas,"$28,000,000","$63,914,167","$112,914,167"
14,"Jan 29, 2013","Batman: The Dark Knight Returns, Part 2","$3,500,000",$0,$0
15,"Jan 31, 2013",Bullet to the Head,"$55,000,000","$9,489,829","$22,597,969"
16,"Jan 31, 2013",Warm Bodies,"$30,000,000","$66,380,662","$114,834,312"
17,"Feb 1, 2013",A Haunting in Connecticut 2: The Ghosts of Georgia,"$9,000,000",$0,$0
18,"Feb 1, 2013",Antiviral,"$3,100,000",$0,"$123,407"
19,"Feb 1, 2013",The Gatekeepers,"$1,500,000","$2,408,553","$2,592,308"
20,"Feb 6, 2013",A Good Day to Die Hard,"$92,000,000","$67,349,198","$304,249,198"
21,"Feb 7, 2013",Identity Thief,"$35,000,000","$134,506,920","$175,361,578"
22,"Feb 8, 2013",Side Effects,"$30,000,000","$32,172,757","$66,742,138"
23,"Feb 8, 2013",Small Apartments,"$2,000,000",$0,$0
