Index,date,title,production budget,domestric budget,worldwide gross,negative,positive
0,"Jan 4, 2013",Texas Chainsaw 3D,"$20,000,000","$34,341,945","$47,666,013",35.0,11.0
1,"Jan 4, 2013",Promised Land,"$15,000,000","$7,597,898","$12,394,562",34.0,19.0
2,"Jan 4, 2013",All Superheroes Must Die,"$20,000",$0,$0,1.0,2.0
3,"Jan 8, 2013",Yi dai zong shi,"$38,600,000","$6,594,959","$57,986,660",0.0,0.0
4,"Jan 9, 2013",Gangster Squad,"$60,000,000","$46,000,903","$104,100,903",44.0,27.0
5,"Jan 11, 2013",A Haunted House,"$2,500,000","$40,041,683","$59,922,558",17.0,16.0
6,"Jan 15, 2013",30 Nights Of Paranormal Activity With The Devil…,"$3,000,000",$0,$0,0.0,0.0
7,"Jan 17, 2013",The Last Stand,"$30,000,000","$12,050,299","$48,330,757",66.0,49.0
8,"Jan 17, 2013",Mama,"$15,000,000","$71,628,180","$148,095,566",16.0,13.0
9,"Jan 18, 2013",Broken City,"$35,000,000","$19,701,164","$37,114,977",46.0,28.0
10,"Jan 24, 2013",Parker,"$35,000,000","$17,616,641","$48,543,388",49.0,50.0
11,"Jan 25, 2013",Hansel & Gretel: Witch Hunters,"$50,000,000","$55,703,475","$214,949,716",0.0,0.0
12,"Jan 25, 2013",Supporting Characters,"$60,000","$4,917","$4,917",12.0,11.0
13,"Jan 28, 2013",Last Vegas,"$28,000,000","$63,914,167","$112,914,167",0.0,0.0
14,"Jan 29, 2013","Batman: The Dark Knight Returns, Part 2","$3,500,000",$0,$0,1.0,0.0
15,"Jan 31, 2013",Bullet to the Head,"$55,000,000","$9,489,829","$22,597,969",55.0,49.0
16,"Jan 31, 2013",Warm Bodies,"$30,000,000","$66,380,662","$114,834,312",1.0,1.0
17,"Feb 1, 2013",A Haunting in Connecticut 2: The Ghosts of Georgia,"$9,000,000",$0,$0,44.0,25.0
18,"Feb 1, 2013",Antiviral,"$3,100,000",$0,"$123,407",6.0,6.0
19,"Feb 1, 2013",The Gatekeepers,"$1,500,000","$2,408,553","$2,592,308",24.0,9.0
20,"Feb 6, 2013",A Good Day to Die Hard,"$92,000,000","$67,349,198","$304,249,198",3.0,4.0
21,"Feb 7, 2013",Identity Thief,"$35,000,000","$134,506,920","$175,361,578",4.0,11.0
22,"Feb 8, 2013",Side Effects,"$30,000,000","$32,172,757","$66,742,138",11.0,12.0
23,"Feb 8, 2013",Small Apartments,"$2,000,000",$0,$0,27.0,20.0
24,"Feb 8, 2013",ABCD (Any Body Can Dance),"$1,900,000","$222,098","$10,137,234",11.0,9.0
25,"Feb 13, 2013",Safe Haven,"$28,000,000","$71,399,120","$94,050,951",1.0,2.0
26,"Feb 14, 2013",Beautiful Creatures,"$50,000,000","$19,452,138","$60,282,876",17.0,18.0
27,"Feb 15, 2013",Escape From Planet Earth,"$40,000,000","$57,012,977","$74,156,610",32.0,30.0
28,"Feb 15, 2013",Bereurlin,"$9,500,000",$0,"$48,314,840",0.0,0.0
29,"Feb 21, 2013",Snitch,"$15,000,000","$42,930,462","$57,907,734",8.0,13.0
30,"Feb 21, 2013",Dark Skies,"$3,500,000","$17,418,667","$27,704,111",6.0,2.0
31,"Feb 22, 2013",Inescapable,"$4,000,000","$4,327","$4,327",24.0,26.0
32,"Feb 26, 2013",Tao Jie,"$5,400,000",$0,"$4,728,896",0.0,0.0
33,"Feb 27, 2013",Jack the Giant Slayer,"$195,000,000","$65,187,603","$197,687,603",7.0,13.0
34,"Feb 28, 2013",Stoker,"$12,000,000","$1,703,125","$12,034,913",7.0,3.0
35,"Mar 1, 2013",Phantom,"$18,000,000","$1,034,589","$1,199,510",9.0,10.0
36,"Mar 1, 2013",21 and Over,"$13,000,000","$25,682,380","$42,195,766",0.0,0.0
37,"Mar 1, 2013",The Last Exorcism Part II,"$4,000,000","$15,179,303","$25,448,707",49.0,21.0
38,"Mar 1, 2013",The Lost Medallion: The Adventures of Billy Stone,"$2,500,000","$549,632","$549,632",4.0,5.0
39,"Mar 6, 2013",Spring Breakers,"$5,000,000","$14,124,286","$31,149,251",7.0,2.0
40,"Mar 7, 2013",Dead Man Down,"$30,000,000","$10,895,295","$19,599,974",31.0,33.0
41,"Mar 7, 2013",Along the Roadside,"$250,000",$0,"$3,234",21.0,16.0
42,"Mar 8, 2013",Oz the Great and Powerful,"$200,000,000","$234,770,996","$490,359,051",2.0,0.0
43,"Mar 14, 2013",The Incredible Burt Wonderstone,"$32,000,000","$22,537,881","$27,392,609",28.0,39.0
44,"Mar 14, 2013",The Call,"$12,800,000","$51,872,378","$69,821,476",0.0,0.0
45,"Mar 15, 2013",The Croods,"$135,000,000","$187,168,425","$573,068,425",7.0,6.0
46,"Mar 19, 2013",Straight A's,"$2,000,000",$0,$0,1.0,0.0
47,"Mar 19, 2013",Strange Frame,"$1,200,000",$0,$0,3.0,4.0
48,"Mar 20, 2013",Olympus Has Fallen,"$70,000,000","$98,927,592","$172,836,993",0.0,0.0
49,"Mar 20, 2013",The Place Beyond the Pines,"$15,000,000","$21,403,519","$47,011,449",42.0,40.0
50,"Mar 22, 2013",The Host,"$50,000,000","$26,623,701","$64,477,051",15.0,21.0
51,"Mar 22, 2013",Admission,"$13,000,000","$18,007,317","$18,733,666",0.0,0.0
52,"Mar 27, 2013",G.I. Joe: Retaliation,"$140,000,000","$122,523,060","$375,740,705",3.0,2.0
53,"Mar 27, 2013",Trance,"$16,000,000","$2,322,593","$22,594,052",19.0,41.0
54,"Mar 29, 2013",Tyler Perry’s Temptation,"$37,000,000","$51,975,354","$53,143,144",0.0,0.0
55,"Apr 3, 2013",Evil Dead,"$17,000,000","$54,239,856","$99,010,045",63.0,46.0
56,"Apr 4, 2013",The Brass Teapot,"$900,000","$6,997","$413,733",1.0,1.0
57,"Apr 5, 2013",Eddie: The Sleepwalking Cannibal,"$1,400,000","$1,632","$1,632",25.0,30.0
58,"Apr 10, 2013",The Act of Killing,"$1,000,000","$486,919","$1,227,316",0.0,0.0
59,"Apr 11, 2013",Scary Movie V,"$20,000,000","$32,015,787","$78,613,981",21.0,6.0
60,"Apr 11, 2013",Absentia,"$70,000",$0,"$8,555",7.0,5.0
61,"Apr 12, 2013",42,"$31,000,000","$95,020,213","$97,470,701",18.0,26.0
62,"Apr 12, 2013",Open Road,"$3,000,000",$0,"$47,469",6.0,6.0
63,"Apr 16, 2013",Un monstre à Paris,"$40,000,000",$0,"$27,000,219",0.0,0.0
64,"Apr 17, 2013",Les gamins,"$9,000,000",$0,"$15,660,664",3.0,4.0
65,"Apr 17, 2013",Deceptive Practice: The Mysteries and Mentors o…,"$500,000","$152,449","$152,449",0.0,0.0
66,"Apr 19, 2013",Oblivion,"$120,000,000","$89,107,235","$287,916,633",70.0,53.0
67,"Apr 19, 2013",The Lords of Salem,"$1,500,000","$1,165,881","$1,541,131",42.0,26.0
68,"Apr 19, 2013",Filly Brown,"$1,250,000","$2,850,357","$2,940,411",3.0,14.0
69,"Apr 19, 2013",Home Run,"$1,200,000","$2,859,955","$2,859,955",9.0,43.0
70,"Apr 24, 2013",Iron Man 3,"$200,000,000","$408,992,272","$1,215,392,272",0.0,0.0
71,"Apr 24, 2013",Pain & Gain,"$26,000,000","$49,875,291","$81,275,291",48.0,88.0
72,"Apr 25, 2013",The Big Wedding,"$32,500,000","$21,819,348","$48,425,971",13.0,20.0
73,"Apr 26, 2013",The Reluctant Fundamentalist,"$15,000,000","$528,731","$528,731",13.0,21.0
74,"Apr 26, 2013",Mud,"$10,000,000","$21,590,086","$31,556,959",4.0,10.0
75,"May 3, 2013",The Iceman,"$10,000,000","$1,930,282","$3,623,609",21.0,16.0
76,"May 3, 2013","Cinco de Mayo, La Batalla","$10,000,000","$173,472","$173,472",50.0,29.0
77,"May 3, 2013",Aroused,"$150,000",$0,$0,24.0,18.0
78,"May 10, 2013",The Great Gatsby,"$190,000,000","$144,840,419","$353,497,733",8.0,9.0
79,"May 10, 2013",Peeples,"$11,000,000","$9,177,065","$9,307,166",37.0,36.0
80,"May 14, 2013",Black Rock,"$1,000,000",$0,$0,12.0,7.0
81,"May 16, 2013",Star Trek Into Darkness,"$190,000,000","$228,778,661","$467,381,584",40.0,24.0
82,"May 17, 2013",Fast and Furious 6,"$160,000,000","$238,679,850","$789,300,444",30.0,33.0
83,"May 17, 2013",Frances Ha,"$3,000,000","$4,067,398","$11,216,237",1.0,3.0
84,"May 22, 2013",Before Midnight,"$3,000,000","$8,110,621","$23,241,189",0.0,1.0
85,"May 23, 2013",The Hangover 3,"$103,000,000","$112,200,072","$362,000,072",1.0,0.0
86,"May 24, 2013",Epic,"$100,000,000","$107,518,682","$262,794,441",9.0,7.0
87,"May 31, 2013",After Earth,"$130,000,000","$60,522,097","$251,499,665",1.0,0.0
88,"May 31, 2013",Now You See Me,"$75,000,000","$117,723,989","$342,769,200",30.0,56.0
89,"May 31, 2013",Yeh Jawaani Hai Deewani,"$8,300,000","$3,827,466","$50,827,466",16.0,30.0
90,"May 31, 2013",The East,"$6,500,000","$2,274,649","$3,027,956",44.0,32.0
91,"Jun 7, 2013",The Internship,"$58,000,000","$44,672,764","$93,672,764",33.0,25.0
92,"Jun 7, 2013",The Purge,"$3,000,000","$64,473,115","$91,266,581",0.0,0.0
93,"Jun 12, 2013",This is the End,"$32,000,000","$101,470,202","$126,539,117",16.0,30.0
94,"Jun 14, 2013",Man of Steel,"$225,000,000","$291,045,518","$667,999,518",0.0,0.0
95,"Jun 14, 2013",20 Feet From Stardom,"$1,000,000","$4,946,250","$5,892,466",2.0,3.0
96,"Jun 19, 2013",World War Z,"$190,000,000","$202,706,711","$531,861,650",70.0,32.0
97,"Jun 21, 2013",Monsters University,"$200,000,000","$268,488,329","$743,455,810",43.0,40.0
98,"Jun 21, 2013",L’attentat,"$3,750,000","$1,625,707","$3,237,975",0.0,0.0
99,"Jun 21, 2013",Alien Uprising,"$2,500,000",$0,$0,70.0,17.0
100,"Jun 21, 2013",This Is Martin Bonner,"$42,000",$0,$0,0.0,1.0
101,"Jun 25, 2013",Hansel & Gretel Get Baked,"$4,500,000",$0,$0,17.0,20.0
102,"Jun 26, 2013",Despicable Me 2,"$76,000,000","$368,065,385","$975,216,835",4.0,0.0
103,"Jun 28, 2013",White House Down,"$150,000,000","$73,103,784","$205,440,387",31.0,17.0
104,"Jun 28, 2013",The Heat,"$43,000,000","$159,581,587","$229,727,774",2.0,6.0
105,"Jun 28, 2013",Redemption,"$23,000,000","$36,686","$13,593,473",1.0,1.0
106,"Jun 28, 2013",Detention of the Dead,"$500,000","$1,778","$1,778",30.0,24.0
107,"Jul 2, 2013",The Lone Ranger,"$225,000,000","$89,302,115","$260,002,115",3.0,0.0
108,"Jul 3, 2013",Kevin Hart: Let Me Explain,"$2,500,000","$32,244,051","$32,327,255",55.0,38.0
109,"Jul 5, 2013",The Way Way Back,"$5,000,000","$21,502,690","$26,853,810",31.0,54.0
110,"Jul 9, 2013",Coffee Town,"$2,000,000",$0,$0,4.0,6.0
111,"Jul 11, 2013",Pacific Rim,"$190,000,000","$101,802,906","$411,002,906",0.0,0.0
112,"Jul 12, 2013",Grown Ups 2,"$80,000,000","$133,668,525","$247,023,808",16.0,24.0
113,"Jul 12, 2013",Fruitvale Station,"$900,000","$16,098,998","$17,549,645",0.0,0.0
